TRADE HISTORY
Date,Action,Ticker,Name,Price,Shares,Value,Weight %
2022-11-25,BUY,LTC,LTC,79.22,967.832501,76671.69,16.67
2022-12-16,SELL,XRP,XRP,0.3447,,66310.93,
2022-12-16,SELL,DOGE,DOGE,0.0737,,61885.82,
2022-12-16,SELL,AVAX,AVAX,11.69,,63183.89,
2022-12-23,SELL,ETH,ETH,1189.29,,128952.3,
2022-12-30,BUY,ETH,ETH,1256.32,56.031182,70393.1,16.67
2022-12-30,BUY,SOL,SOL,13.44,5237.581481,70393.1,16.67
2022-12-30,BUY,AVAX,AVAX,12.09,5822.423086,70393.1,16.67
2022-12-30,BUY,TRX,TRX,0.0548,1285530.792043,70393.1,16.67
2023-01-06,BUY,XRP,XRP,0.3729,129260.533728,48202.55,10.0
2023-01-06,BUY,DOGE,DOGE,0.0781,616829.938376,48202.55,10.0
2023-01-06,BUY,ADA,ADA,0.323,149255.143557,48202.55,10.0
2023-01-06,BUY,LINK,LINK,6.2847,7669.848844,48202.55,10.0
2023-02-24,SELL,XRP,XRP,0.3835,,57362.91,
2023-02-24,SELL,DOGE,DOGE,0.082,,56656.78,
2023-03-03,SELL,ETH,ETH,1532.26,,65677.36,
2023-03-03,SELL,ADA,ADA,0.3177,,62935.32,
2023-03-03,SELL,SOL,SOL,18.39,,58286.53,
2023-03-03,SELL,LTC,LTC,82.69,,60348.84,
2023-03-03,SELL,AVAX,AVAX,15.13,,60806.61,
2023-03-03,SELL,LINK,LINK,6.5846,,62387.32,
2023-03-03,BUY,XRP,XRP,0.389,430708.879383,167541.45,33.33
2023-03-10,SELL,XRP,XRP,0.3604,,155218.87,
2023-03-10,BUY,ETH,ETH,1656.38,61.709267,102214.0,20.0
2023-03-10,BUY,SOL,SOL,19.33,5287.842495,102214.0,20.0
2023-03-10,BUY,AVAX,AVAX,15.61,6547.981769,102214.0,20.0
2023-03-17,SELL,TRX,TRX,0.0598,,93647.13,
2023-03-17,BUY,XRP,XRP,0.4222,182212.956033,76926.67,14.29
2023-03-17,BUY,ADA,ADA,0.3603,213528.002382,76926.67,14.29
2023-03-17,BUY,LINK,LINK,7.1807,10712.975863,76926.67,14.29
2023-03-24,BUY,LTC,LTC,91.25,698.751127,63761.04,11.11
2023-03-24,BUY,TRX,TRX,0.0644,990109.014489,63761.04,11.11
